"article_cond","SID","item","n","comment"
"social","s018","3",NA,NA
"social","s018","4",NA,NA
"social","s019","1",NA,NA
"social","s019","2",NA,NA
"social","s019","3",NA,NA
"social","s019","4",NA,NA
"social","s020","5",28,"It wouldn't really matter, because people like my parents - the only other people I know who recycle - would just do it anyway even if they read the article."
"social","s020","6",57,"It doesn't really matter to people I know, because no one I have a close relationship with lives even nearby there, and this article's headline and subheadline do not give any sense of the scale of the garbage patch, making it hard for anyone to care about because the size is just so enormous to be unimaginable."
"social","s020","7",29,"Express weight training might be a good option for exercising for people I know who have very little free time but still want to prioritize fitness in some way."
"social","s020","8",42,"My mom needs a Gatorade when she falls when her legs collapse under her, when she's trying to get up after being on the floor for a while. This might at least be a different idea for when a Gatorade isn't available."
"social","s021","1",NA,NA
"social","s021","2",NA,NA
"social","s021","3",NA,NA
"social","s021","4",NA,NA
"social","s022","5",NA,NA
"social","s022","6",NA,NA
"social","s022","7",NA,NA
"social","s022","8",NA,NA
"social","s023","1",NA,NA
"social","s023","2",NA,NA
"social","s023","3",NA,NA
"social","s023","4",NA,NA
"social","s024","1",8,"Is it really cows? Or is it corporations?"
"social","s024","2",22,"We started doing this two years ago when the local farmers market opened up and it saved us a lot of money."
"social","s024","3",10,"A reminder that the wellness indusry is still big pharma."
"social","s024","4",4,"Latest climate meeting highlights."
"social","s025","5",NA,NA
"social","s025","6",NA,NA
"social","s025","7",NA,NA
"social","s025","8",NA,NA
"social","s026","10",NA,NA
"social","s026","11",NA,NA
"social","s026","12",NA,NA
"social","s026","9",NA,NA
"social","s027","10",17,"We're all trying to lose weight, and become more healthy.  Here's more to read on the topic."
"social","s027","11",32,"Getting a head start in your child's health makes life easier both for the parents and the child, now, and in the future.  Worth a read for something so simple to do."
"social","s027","12",22,"I have lots of friends and family members that take supplements.  It's important to know the effects of what you are taking."
"social","s027","9",24,"Heart disease is in my family.  Here's some interesting new data that might put some of their theories as to what's ""Healthy"" to rest."
"social","s028","5",NA,NA
"social","s028","6",NA,NA
"social","s028","7",NA,NA
"social","s028","8",NA,NA
"social","s029","1",NA,NA
"social","s029","2",NA,NA
"social","s029","3",NA,NA
"social","s029","4",NA,NA
"social","s030","5",NA,NA
"social","s030","6",NA,NA
"social","s030","7",NA,NA
"social","s030","8",NA,NA
"social","s031","5",NA,NA
"social","s031","6",NA,NA
"social","s031","7",NA,NA
"social","s031","8",NA,NA
"social","s032","1",7,"this doesn't exactly affect anybody i know"
"social","s032","2",10,"i know many people who are trying to lose weight"
"social","s032","3",12,"i know people who think they are making a difference by recycling"
"social","s032","4",7,"a ruined economy affects everyone i know"
"social","s033","1",NA,NA
"social","s033","2",NA,NA
"social","s033","3",NA,NA
"social","s033","4",NA,NA
"social","s034","1",NA,NA
"social","s034","2",NA,NA
"social","s034","3",NA,NA
"social","s034","4",NA,NA
"social","s035","10",NA,NA
"social","s035","11",NA,NA
"social","s035","12",NA,NA
"social","s035","9",NA,NA
"social","s036","1",NA,NA
"social","s036","2",NA,NA
"social","s036","3",NA,NA
"social","s036","4",NA,NA
"social","s037","10",9,"Everyone needs nutrients to maintain or improve their health."
"social","s037","11",11,"Knowing what the risks are will help people avoid the disease."
"social","s037","12",16,"A cold or flu can be miserable; learning how to fight them off would be helpful."
"social","s037","9",4,"Climate change affects everyone."
"social","s038","5",NA,NA
"social","s038","6",NA,NA
"social","s038","7",NA,NA
"social","s038","8",NA,NA
"social","s039","10",NA,NA
"social","s039","11",NA,NA
"social","s039","12",NA,NA
"social","s039","9",NA,NA
"social","s040","5",NA,NA
"social","s040","6",NA,NA
"social","s040","7",NA,NA
"social","s040","8",NA,NA
"social","s041","5",15,"I have many relatives that live in flood zones so this is a relevant read"
"social","s041","6",22,"I have relatives that live in flood zones. This article would be worth sharing to have them make sure they are insured."
"social","s041","7",9,"The health and welfare of children matters to me"
"social","s041","8",14,"Many people I know care for plants so this would be a helpful tip"
"social","s042","10",14,"Lots of people I know are leaving their youth behind and several enjoy dancing."
"social","s042","11",15,"I can think of several people I know who are obese due to medical issues."
"social","s042","12",7,"People I know like to follow news."
"social","s042","9",13,"A lot of people I know are environmentally conscious and would welcome alternatives."
"social","s043","1",17,"People I know deserve to live in a world that is free of pollution and climate change."
"social","s043","2",10,"People I know may be at risk for Parkinson's disease."
"social","s043","3",6,"My friends listen to loud music."
"social","s043","4",9,"My best friend has a very weak immune system."
"social","s044","1",NA,NA
"social","s044","2",NA,NA
"social","s044","3",NA,NA
"social","s044","4",NA,NA
"social","s045","10",NA,NA
"social","s045","11",NA,NA
"social","s045","12",NA,NA
"social","s045","9",NA,NA
"social","s046","1",NA,NA
"social","s046","2",NA,NA
"social","s046","3",NA,NA
"social","s046","4",NA,NA
"social","s047","10",NA,NA
"social","s047","11",NA,NA
"social","s047","12",NA,NA
"social","s047","9",NA,NA
"social","s048","10",NA,NA
"social","s048","11",NA,NA
"social","s048","12",NA,NA
"social","s048","9",NA,NA
"social","s049","10",NA,NA
"social","s049","11",NA,NA
"social","s049","12",NA,NA
"social","s049","9",NA,NA
"social","s050","5",NA,NA
"social","s050","6",NA,NA
"social","s050","7",NA,NA
"social","s050","8",NA,NA
"social","s051","1",NA,NA
"social","s051","2",NA,NA
"social","s051","3",NA,NA
"social","s051","4",NA,NA
"social","s052","5",NA,NA
"social","s052","6",NA,NA
"social","s052","7",NA,NA
"social","s052","8",NA,NA
"social","s053","10",20,"I think that people I know would find this article interesting because they are experiencing the effect of climate change."
"social","s053","11",13,"It matters to people I know because we all want to age gracefully."
"social","s053","12",21,"It matters to people I know because many of them overindulge in sweets and this might give them food for thought."
"social","s053","9",15,"It matters to people I know because I know a few that experience this problem."
"social","s054","1",NA,NA
"social","s054","2",NA,NA
"social","s054","3",NA,NA
"social","s054","4",NA,NA
"social","s055","5",NA,NA
"social","s055","6",NA,NA
"social","s055","7",NA,NA
"social","s055","8",NA,NA
"social","s056","10",NA,NA
"social","s056","11",NA,NA
"social","s056","12",NA,NA
"social","s056","9",NA,NA
"social","s057","1",13,"People I know may need to be aware of this to be safe."
"social","s057","2",20,"People I know may be interested in climate change or lab-grown meat, as well as who's running for governor."
"social","s057","3",18,"I'm not sure whether people I know would be interested in this, but many people like to cook."
"social","s057","4",10,"I know many people who exercise and watch their weight."
"social","s058","1",NA,NA
"social","s058","2",NA,NA
"social","s058","3",NA,NA
"social","s058","4",NA,NA
"social","s059","10",NA,NA
"social","s059","11",NA,NA
"social","s059","12",NA,NA
"social","s059","9",NA,NA
"social","s060","1",NA,NA
"social","s060","2",NA,NA
"social","s060","3",NA,NA
"social","s060","4",NA,NA
"social","s061","5",NA,NA
"social","s061","6",NA,NA
"social","s061","7",NA,NA
"social","s061","8",NA,NA
"social","s062","5",NA,NA
"social","s062","6",NA,NA
"social","s062","7",NA,NA
"social","s062","8",NA,NA
"social","s063","1",20,"my friends are so against it, but they don't know much about, so I would share this news with them"
"social","s063","2",22,"most people think its its a matter of genetics also, so this news would be interesting to find out more about it"
"social","s063","3",20,"Some people I know think that loosing their hearing and still think they would be able to drive, work normally"
"social","s063","4",18,"my friends they think it is genetics but i believe they feed them unhealthy foods all the time."
"social","s064","10",25,"People around me that are on the fence may like this program and it may incentivize them to buy an electric vehicle sooner than later"
"social","s064","11",14,"Living in the South, this would definitely affect people around me in the area"
"social","s064","12",14,"A lot of people I know have children and complain about high healthcare costs"
"social","s064","9",22,"Many women will get breast cancer and this is relevant to them in terms of what they can do to prevent it"
"social","s065","1",NA,NA
"social","s065","2",NA,NA
"social","s065","3",NA,NA
"social","s065","4",NA,NA
"social","s066","5",6,"very anti-waste and frugal people"
"social","s066","6",5,"sister has compromised tooth enamel"
"social","s066","7",11,"related to blood pressure, and my mom has high blood pressure"
"social","s066","8",3,"very conservationist family"
"social","s067","1",11,"I know people who participate in marathons, including the Boston Marathon."
"social","s067","2",15,"I know people who have had or have family members who have had breast cancer."
"social","s067","3",12,"This article matters to people I know who live in the Midwest."
"social","s067","4",15,"It is relevant to people who are conscious of the contents of what they eat."
"social","s068","10",NA,NA
"social","s068","11",NA,NA
"social","s068","12",NA,NA
"social","s068","9",NA,NA
"social","s069","10",NA,NA
"social","s069","11",NA,NA
"social","s069","12",NA,NA
"social","s069","9",NA,NA
"social","s070","10",NA,NA
"social","s070","11",NA,NA
"social","s070","12",NA,NA
"social","s070","9",NA,NA
"social","s071","1",NA,NA
"social","s071","2",NA,NA
"social","s071","3",NA,NA
"social","s071","4",NA,NA
"social","s072","10",16,"This is important to people I know because I know people that live on the coasts."
"social","s072","11",18,"This is important to people I know because some of my friends have been trying to lose weight."
"social","s072","12",16,"This is important to people I know because I have friends that smoke, but don't exercise."
"social","s072","9",13,"This matters to people I know because there will be less land available."
"social","s073","1",NA,NA
"social","s073","2",NA,NA
"social","s073","3",NA,NA
"social","s073","4",NA,NA
"social","s074","5",NA,NA
"social","s074","6",NA,NA
"social","s074","7",NA,NA
"social","s074","8",NA,NA
"social","s075","5",NA,NA
"social","s075","6",NA,NA
"social","s075","7",NA,NA
"social","s075","8",NA,NA
"social","s076","1",16,"These ads are helping my friends' non-profit that focuses on the climate.  Increase in volunteers."
"social","s076","2",20,"All of my friends and half my family life on, or near, seaboards.  Something we need to face up to."
"social","s076","3",18,"My sister would like to know this as dementia is in the family and she is middle-aged."
"social","s076","4",28,"I have two friends heavily involved in responding in global warming.  They like to keep track what is happening on political level as they work at street level."
